id,left,top,right,bottom
"1538",-7605771.6464,5515624.3368,-7605751.6464,5515604.3368
"1609",-7605751.6464,5515644.3368,-7605731.6464,5515624.3368
"1610",-7605751.6464,5515624.3368,-7605731.6464,5515604.3368
"1681",-7605731.6464,5515644.3368,-7605711.6464,5515624.3368
"1682",-7605731.6464,5515624.3368,-7605711.6464,5515604.3368
"1750",-7605711.6464,5515704.3368,-7605691.6464,5515684.3368
"1751",-7605711.6464,5515684.3368,-7605691.6464,5515664.3368
"1752",-7605711.6464,5515664.3368,-7605691.6464,5515644.3368
"1753",-7605711.6464,5515644.3368,-7605691.6464,5515624.3368
"1754",-7605711.6464,5515624.3368,-7605691.6464,5515604.3368
"1822",-7605691.6464,5515704.3368,-7605671.6464,5515684.3368
"1823",-7605691.6464,5515684.3368,-7605671.6464,5515664.3368
"1824",-7605691.6464,5515664.3368,-7605671.6464,5515644.3368
"1825",-7605691.6464,5515644.3368,-7605671.6464,5515624.3368
"1826",-7605691.6464,5515624.3368,-7605671.6464,5515604.3368
"1899",-7605671.6464,5515604.3368,-7605651.6464,5515584.3368
"1900",-7605671.6464,5515584.3368,-7605651.6464,5515564.3368
"1966",-7605651.6464,5515704.3368,-7605631.6464,5515684.3368
"1967",-7605651.6464,5515684.3368,-7605631.6464,5515664.3368
"1971",-7605651.6464,5515604.3368,-7605631.6464,5515584.3368
"1972",-7605651.6464,5515584.3368,-7605631.6464,5515564.3368
"1973",-7605651.6464,5515564.3368,-7605631.6464,5515544.3368
"2038",-7605631.6464,5515704.3368,-7605611.6464,5515684.3368
"2039",-7605631.6464,5515684.3368,-7605611.6464,5515664.3368
"2040",-7605631.6464,5515664.3368,-7605611.6464,5515644.3368
"2041",-7605631.6464,5515644.3368,-7605611.6464,5515624.3368
"2042",-7605631.6464,5515624.3368,-7605611.6464,5515604.3368
"2043",-7605631.6464,5515604.3368,-7605611.6464,5515584.3368
"2044",-7605631.6464,5515584.3368,-7605611.6464,5515564.3368
"2045",-7605631.6464,5515564.3368,-7605611.6464,5515544.3368
"2110",-7605611.6464,5515704.3368,-7605591.6464,5515684.3368
"2111",-7605611.6464,5515684.3368,-7605591.6464,5515664.3368
"2112",-7605611.6464,5515664.3368,-7605591.6464,5515644.3368
"2113",-7605611.6464,5515644.3368,-7605591.6464,5515624.3368
"2114",-7605611.6464,5515624.3368,-7605591.6464,5515604.3368
"2115",-7605611.6464,5515604.3368,-7605591.6464,5515584.3368
"3840",-7605131.6464,5515664.3368,-7605111.6464,5515644.3368
"3841",-7605131.6464,5515644.3368,-7605111.6464,5515624.3368
"3842",-7605131.6464,5515624.3368,-7605111.6464,5515604.3368
"3843",-7605131.6464,5515604.3368,-7605111.6464,5515584.3368
"3912",-7605111.6464,5515664.3368,-7605091.6464,5515644.3368
"3913",-7605111.6464,5515644.3368,-7605091.6464,5515624.3368
"3914",-7605111.6464,5515624.3368,-7605091.6464,5515604.3368
"3915",-7605111.6464,5515604.3368,-7605091.6464,5515584.3368
"3984",-7605091.6464,5515664.3368,-7605071.6464,5515644.3368
"3985",-7605091.6464,5515644.3368,-7605071.6464,5515624.3368
"3986",-7605091.6464,5515624.3368,-7605071.6464,5515604.3368
"3987",-7605091.6464,5515604.3368,-7605071.6464,5515584.3368
"4054",-7605071.6464,5515704.3368,-7605051.6464,5515684.3368
"4055",-7605071.6464,5515684.3368,-7605051.6464,5515664.3368
"4056",-7605071.6464,5515664.3368,-7605051.6464,5515644.3368
"4057",-7605071.6464,5515644.3368,-7605051.6464,5515624.3368
"4058",-7605071.6464,5515624.3368,-7605051.6464,5515604.3368
"4059",-7605071.6464,5515604.3368,-7605051.6464,5515584.3368
"4060",-7605071.6464,5515584.3368,-7605051.6464,5515564.3368
"4061",-7605071.6464,5515564.3368,-7605051.6464,5515544.3368
"4062",-7605071.6464,5515544.3368,-7605051.6464,5515524.3368
"4063",-7605071.6464,5515524.3368,-7605051.6464,5515504.3368
"4064",-7605071.6464,5515504.3368,-7605051.6464,5515484.3368
"4065",-7605071.6464,5515484.3368,-7605051.6464,5515464.3368
"4126",-7605051.6464,5515704.3368,-7605031.6464,5515684.3368
"4127",-7605051.6464,5515684.3368,-7605031.6464,5515664.3368
"4128",-7605051.6464,5515664.3368,-7605031.6464,5515644.3368
"4129",-7605051.6464,5515644.3368,-7605031.6464,5515624.3368
"4130",-7605051.6464,5515624.3368,-7605031.6464,5515604.3368
"4131",-7605051.6464,5515604.3368,-7605031.6464,5515584.3368
"4132",-7605051.6464,5515584.3368,-7605031.6464,5515564.3368
"4133",-7605051.6464,5515564.3368,-7605031.6464,5515544.3368
"4134",-7605051.6464,5515544.3368,-7605031.6464,5515524.3368
"4135",-7605051.6464,5515524.3368,-7605031.6464,5515504.3368
"4136",-7605051.6464,5515504.3368,-7605031.6464,5515484.3368
"4137",-7605051.6464,5515484.3368,-7605031.6464,5515464.3368
"4198",-7605031.6464,5515704.3368,-7605011.6464,5515684.3368
"4199",-7605031.6464,5515684.3368,-7605011.6464,5515664.3368
"4200",-7605031.6464,5515664.3368,-7605011.6464,5515644.3368
"4201",-7605031.6464,5515644.3368,-7605011.6464,5515624.3368
"4202",-7605031.6464,5515624.3368,-7605011.6464,5515604.3368
"4203",-7605031.6464,5515604.3368,-7605011.6464,5515584.3368
"4204",-7605031.6464,5515584.3368,-7605011.6464,5515564.3368
"4205",-7605031.6464,5515564.3368,-7605011.6464,5515544.3368
"4206",-7605031.6464,5515544.3368,-7605011.6464,5515524.3368
"4207",-7605031.6464,5515524.3368,-7605011.6464,5515504.3368
"4208",-7605031.6464,5515504.3368,-7605011.6464,5515484.3368
"4270",-7605011.6464,5515704.3368,-7604991.6464,5515684.3368
"4271",-7605011.6464,5515684.3368,-7604991.6464,5515664.3368
"4272",-7605011.6464,5515664.3368,-7604991.6464,5515644.3368
"4273",-7605011.6464,5515644.3368,-7604991.6464,5515624.3368
"4274",-7605011.6464,5515624.3368,-7604991.6464,5515604.3368
"4277",-7605011.6464,5515564.3368,-7604991.6464,5515544.3368
"4278",-7605011.6464,5515544.3368,-7604991.6464,5515524.3368
"4279",-7605011.6464,5515524.3368,-7604991.6464,5515504.3368
"4280",-7605011.6464,5515504.3368,-7604991.6464,5515484.3368
"4351",-7604991.6464,5515524.3368,-7604971.6464,5515504.3368
"4352",-7604991.6464,5515504.3368,-7604971.6464,5515484.3368
"4353",-7604991.6464,5515484.3368,-7604971.6464,5515464.3368
"4422",-7604971.6464,5515544.3368,-7604951.6464,5515524.3368
"4423",-7604971.6464,5515524.3368,-7604951.6464,5515504.3368
"4424",-7604971.6464,5515504.3368,-7604951.6464,5515484.3368
"4425",-7604971.6464,5515484.3368,-7604951.6464,5515464.3368
"4494",-7604951.6464,5515544.3368,-7604931.6464,5515524.3368
"4495",-7604951.6464,5515524.3368,-7604931.6464,5515504.3368
"4496",-7604951.6464,5515504.3368,-7604931.6464,5515484.3368
"4497",-7604951.6464,5515484.3368,-7604931.6464,5515464.3368
"4568",-7604931.6464,5515504.3368,-7604911.6464,5515484.3368
