id,left,top,right,bottom
"154",-7611218.714,5512520.3516,-7611198.714,5512500.3516
"155",-7611218.714,5512500.3516,-7611198.714,5512480.3516
"196",-7611198.714,5512520.3516,-7611178.714,5512500.3516
"197",-7611198.714,5512500.3516,-7611178.714,5512480.3516
"198",-7611198.714,5512480.3516,-7611178.714,5512460.3516
"239",-7611178.714,5512500.3516,-7611158.714,5512480.3516
"240",-7611178.714,5512480.3516,-7611158.714,5512460.3516
"281",-7611158.714,5512500.3516,-7611138.714,5512480.3516
"282",-7611158.714,5512480.3516,-7611138.714,5512460.3516
"324",-7611138.714,5512480.3516,-7611118.714,5512460.3516
"366",-7611118.714,5512480.3516,-7611098.714,5512460.3516
"811",-7610898.714,5512820.3516,-7610878.714,5512800.3516
"853",-7610878.714,5512820.3516,-7610858.714,5512800.3516
"854",-7610878.714,5512800.3516,-7610858.714,5512780.3516
"894",-7610858.714,5512840.3516,-7610838.714,5512820.3516
"895",-7610858.714,5512820.3516,-7610838.714,5512800.3516
"896",-7610858.714,5512800.3516,-7610838.714,5512780.3516
"941",-7610838.714,5512740.3516,-7610818.714,5512720.3516
"942",-7610838.714,5512720.3516,-7610818.714,5512700.3516
"943",-7610838.714,5512700.3516,-7610818.714,5512680.3516
"944",-7610838.714,5512680.3516,-7610818.714,5512660.3516
"984",-7610818.714,5512720.3516,-7610798.714,5512700.3516
"985",-7610818.714,5512700.3516,-7610798.714,5512680.3516
"986",-7610818.714,5512680.3516,-7610798.714,5512660.3516
"987",-7610818.714,5512660.3516,-7610798.714,5512640.3516
"988",-7610818.714,5512640.3516,-7610798.714,5512620.3516
"1027",-7610798.714,5512700.3516,-7610778.714,5512680.3516
"1028",-7610798.714,5512680.3516,-7610778.714,5512660.3516
"1029",-7610798.714,5512660.3516,-7610778.714,5512640.3516
"1030",-7610798.714,5512640.3516,-7610778.714,5512620.3516
