id,left,top,right,bottom
"892",-7577193.1079,5517633.8389,-7577173.1079,5517613.8389
"893",-7577193.1079,5517613.8389,-7577173.1079,5517593.8389
"894",-7577193.1079,5517593.8389,-7577173.1079,5517573.8389
"986",-7577173.1079,5517613.8389,-7577153.1079,5517593.8389
"987",-7577173.1079,5517593.8389,-7577153.1079,5517573.8389
"988",-7577173.1079,5517573.8389,-7577153.1079,5517553.8389
"1080",-7577153.1079,5517593.8389,-7577133.1079,5517573.8389
"1081",-7577153.1079,5517573.8389,-7577133.1079,5517553.8389
"1174",-7577133.1079,5517573.8389,-7577113.1079,5517553.8389
"1175",-7577133.1079,5517553.8389,-7577113.1079,5517533.8389
"1176",-7577133.1079,5517533.8389,-7577113.1079,5517513.8389
"1269",-7577113.1079,5517533.8389,-7577093.1079,5517513.8389
"1270",-7577113.1079,5517513.8389,-7577093.1079,5517493.8389
"1363",-7577093.1079,5517513.8389,-7577073.1079,5517493.8389
"1364",-7577093.1079,5517493.8389,-7577073.1079,5517473.8389
"1457",-7577073.1079,5517493.8389,-7577053.1079,5517473.8389
"1458",-7577073.1079,5517473.8389,-7577053.1079,5517453.8389
"1551",-7577053.1079,5517473.8389,-7577033.1079,5517453.8389
"1552",-7577053.1079,5517453.8389,-7577033.1079,5517433.8389
"1645",-7577033.1079,5517453.8389,-7577013.1079,5517433.8389
"1646",-7577033.1079,5517433.8389,-7577013.1079,5517413.8389
"1739",-7577013.1079,5517433.8389,-7576993.1079,5517413.8389
"1833",-7576993.1079,5517413.8389,-7576973.1079,5517393.8389
"1834",-7576993.1079,5517393.8389,-7576973.1079,5517373.8389
"1927",-7576973.1079,5517393.8389,-7576953.1079,5517373.8389
"1928",-7576973.1079,5517373.8389,-7576953.1079,5517353.8389
"2021",-7576953.1079,5517373.8389,-7576933.1079,5517353.8389
"2022",-7576953.1079,5517353.8389,-7576933.1079,5517333.8389
"2115",-7576933.1079,5517353.8389,-7576913.1079,5517333.8389
"2116",-7576933.1079,5517333.8389,-7576913.1079,5517313.8389
"2209",-7576913.1079,5517333.8389,-7576893.1079,5517313.8389
"2210",-7576913.1079,5517313.8389,-7576893.1079,5517293.8389
"2302",-7576893.1079,5517333.8389,-7576873.1079,5517313.8389
"2303",-7576893.1079,5517313.8389,-7576873.1079,5517293.8389
"2304",-7576893.1079,5517293.8389,-7576873.1079,5517273.8389
"2396",-7576873.1079,5517313.8389,-7576853.1079,5517293.8389
"2397",-7576873.1079,5517293.8389,-7576853.1079,5517273.8389
"2489",-7576853.1079,5517313.8389,-7576833.1079,5517293.8389
"2490",-7576853.1079,5517293.8389,-7576833.1079,5517273.8389
"2491",-7576853.1079,5517273.8389,-7576833.1079,5517253.8389
"2583",-7576833.1079,5517293.8389,-7576813.1079,5517273.8389
"2584",-7576833.1079,5517273.8389,-7576813.1079,5517253.8389
"2585",-7576833.1079,5517253.8389,-7576813.1079,5517233.8389
"2586",-7576833.1079,5517233.8389,-7576813.1079,5517213.8389
"2677",-7576813.1079,5517273.8389,-7576793.1079,5517253.8389
"2678",-7576813.1079,5517253.8389,-7576793.1079,5517233.8389
"2679",-7576813.1079,5517233.8389,-7576793.1079,5517213.8389
"2771",-7576793.1079,5517253.8389,-7576773.1079,5517233.8389
"2772",-7576793.1079,5517233.8389,-7576773.1079,5517213.8389
"2773",-7576793.1079,5517213.8389,-7576773.1079,5517193.8389
"2866",-7576773.1079,5517213.8389,-7576753.1079,5517193.8389
"2867",-7576773.1079,5517193.8389,-7576753.1079,5517173.8389
"2959",-7576753.1079,5517213.8389,-7576733.1079,5517193.8389
"2960",-7576753.1079,5517193.8389,-7576733.1079,5517173.8389
"3053",-7576733.1079,5517193.8389,-7576713.1079,5517173.8389
"3054",-7576733.1079,5517173.8389,-7576713.1079,5517153.8389
"3146",-7576713.1079,5517193.8389,-7576693.1079,5517173.8389
"3147",-7576713.1079,5517173.8389,-7576693.1079,5517153.8389
"3240",-7576693.1079,5517173.8389,-7576673.1079,5517153.8389
"3241",-7576693.1079,5517153.8389,-7576673.1079,5517133.8389
"3333",-7576673.1079,5517173.8389,-7576653.1079,5517153.8389
"3334",-7576673.1079,5517153.8389,-7576653.1079,5517133.8389
"3425",-7576653.1079,5517193.8389,-7576633.1079,5517173.8389
"3426",-7576653.1079,5517173.8389,-7576633.1079,5517153.8389
"3427",-7576653.1079,5517153.8389,-7576633.1079,5517133.8389
"3428",-7576653.1079,5517133.8389,-7576633.1079,5517113.8389
"3515",-7576633.1079,5517253.8389,-7576613.1079,5517233.8389
"3516",-7576633.1079,5517233.8389,-7576613.1079,5517213.8389
"3517",-7576633.1079,5517213.8389,-7576613.1079,5517193.8389
"3518",-7576633.1079,5517193.8389,-7576613.1079,5517173.8389
"3519",-7576633.1079,5517173.8389,-7576613.1079,5517153.8389
"3520",-7576633.1079,5517153.8389,-7576613.1079,5517133.8389
"3521",-7576633.1079,5517133.8389,-7576613.1079,5517113.8389
"3522",-7576633.1079,5517113.8389,-7576613.1079,5517093.8389
"3608",-7576613.1079,5517253.8389,-7576593.1079,5517233.8389
"3609",-7576613.1079,5517233.8389,-7576593.1079,5517213.8389
"3610",-7576613.1079,5517213.8389,-7576593.1079,5517193.8389
"3611",-7576613.1079,5517193.8389,-7576593.1079,5517173.8389
"3612",-7576613.1079,5517173.8389,-7576593.1079,5517153.8389
"3613",-7576613.1079,5517153.8389,-7576593.1079,5517133.8389
"3614",-7576613.1079,5517133.8389,-7576593.1079,5517113.8389
"3615",-7576613.1079,5517113.8389,-7576593.1079,5517093.8389
"3701",-7576593.1079,5517253.8389,-7576573.1079,5517233.8389
"3702",-7576593.1079,5517233.8389,-7576573.1079,5517213.8389
"3703",-7576593.1079,5517213.8389,-7576573.1079,5517193.8389
"3704",-7576593.1079,5517193.8389,-7576573.1079,5517173.8389
"3705",-7576593.1079,5517173.8389,-7576573.1079,5517153.8389
"3706",-7576593.1079,5517153.8389,-7576573.1079,5517133.8389
"3707",-7576593.1079,5517133.8389,-7576573.1079,5517113.8389
"3708",-7576593.1079,5517113.8389,-7576573.1079,5517093.8389
"3709",-7576593.1079,5517093.8389,-7576573.1079,5517073.8389
"3794",-7576573.1079,5517253.8389,-7576553.1079,5517233.8389
"3795",-7576573.1079,5517233.8389,-7576553.1079,5517213.8389
"3796",-7576573.1079,5517213.8389,-7576553.1079,5517193.8389
"3797",-7576573.1079,5517193.8389,-7576553.1079,5517173.8389
"3802",-7576573.1079,5517093.8389,-7576553.1079,5517073.8389
"3803",-7576573.1079,5517073.8389,-7576553.1079,5517053.8389
"3895",-7576553.1079,5517093.8389,-7576533.1079,5517073.8389
"3896",-7576553.1079,5517073.8389,-7576533.1079,5517053.8389
"3989",-7576533.1079,5517073.8389,-7576513.1079,5517053.8389
"4082",-7576513.1079,5517073.8389,-7576493.1079,5517053.8389
"4175",-7576493.1079,5517073.8389,-7576473.1079,5517053.8389
"4176",-7576493.1079,5517053.8389,-7576473.1079,5517033.8389
"4268",-7576473.1079,5517073.8389,-7576453.1079,5517053.8389
"4269",-7576473.1079,5517053.8389,-7576453.1079,5517033.8389
"4360",-7576453.1079,5517093.8389,-7576433.1079,5517073.8389
"4361",-7576453.1079,5517073.8389,-7576433.1079,5517053.8389
"4362",-7576453.1079,5517053.8389,-7576433.1079,5517033.8389
"4453",-7576433.1079,5517093.8389,-7576413.1079,5517073.8389
"4454",-7576433.1079,5517073.8389,-7576413.1079,5517053.8389
"4455",-7576433.1079,5517053.8389,-7576413.1079,5517033.8389
"4546",-7576413.1079,5517093.8389,-7576393.1079,5517073.8389
"4547",-7576413.1079,5517073.8389,-7576393.1079,5517053.8389
"4548",-7576413.1079,5517053.8389,-7576393.1079,5517033.8389
"4639",-7576393.1079,5517093.8389,-7576373.1079,5517073.8389
"4640",-7576393.1079,5517073.8389,-7576373.1079,5517053.8389
"4641",-7576393.1079,5517053.8389,-7576373.1079,5517033.8389
