id,left,top,right,bottom
"28",-7595665.3184,5524892.5861,-7595645.3184,5524872.5861
"51",-7595645.3184,5524912.5861,-7595625.3184,5524892.5861
"52",-7595645.3184,5524892.5861,-7595625.3184,5524872.5861
"53",-7595645.3184,5524872.5861,-7595625.3184,5524852.5861
"54",-7595645.3184,5524852.5861,-7595625.3184,5524832.5861
"74",-7595625.3184,5524932.5861,-7595605.3184,5524912.5861
"75",-7595625.3184,5524912.5861,-7595605.3184,5524892.5861
"76",-7595625.3184,5524892.5861,-7595605.3184,5524872.5861
"77",-7595625.3184,5524872.5861,-7595605.3184,5524852.5861
"78",-7595625.3184,5524852.5861,-7595605.3184,5524832.5861
"79",-7595625.3184,5524832.5861,-7595605.3184,5524812.5861
"99",-7595605.3184,5524912.5861,-7595585.3184,5524892.5861
"101",-7595605.3184,5524872.5861,-7595585.3184,5524852.5861
"102",-7595605.3184,5524852.5861,-7595585.3184,5524832.5861
"103",-7595605.3184,5524832.5861,-7595585.3184,5524812.5861
"107",-7595605.3184,5524752.5861,-7595585.3184,5524732.5861
"108",-7595605.3184,5524732.5861,-7595585.3184,5524712.5861
"109",-7595605.3184,5524712.5861,-7595585.3184,5524692.5861
"110",-7595605.3184,5524692.5861,-7595585.3184,5524672.5861
"111",-7595605.3184,5524672.5861,-7595585.3184,5524652.5861
"112",-7595605.3184,5524652.5861,-7595585.3184,5524632.5861
"122",-7595585.3184,5524932.5861,-7595565.3184,5524912.5861
"123",-7595585.3184,5524912.5861,-7595565.3184,5524892.5861
"124",-7595585.3184,5524892.5861,-7595565.3184,5524872.5861
"125",-7595585.3184,5524872.5861,-7595565.3184,5524852.5861
"126",-7595585.3184,5524852.5861,-7595565.3184,5524832.5861
"127",-7595585.3184,5524832.5861,-7595565.3184,5524812.5861
"130",-7595585.3184,5524772.5861,-7595565.3184,5524752.5861
"131",-7595585.3184,5524752.5861,-7595565.3184,5524732.5861
"132",-7595585.3184,5524732.5861,-7595565.3184,5524712.5861
"133",-7595585.3184,5524712.5861,-7595565.3184,5524692.5861
