id,left,top,right,bottom
"331",-7594950.7975,5519993.8115,-7594930.7975,5519973.8115
"332",-7594950.7975,5519973.8115,-7594930.7975,5519953.8115
"378",-7594930.7975,5520033.8115,-7594910.7975,5520013.8115
"379",-7594930.7975,5520013.8115,-7594910.7975,5519993.8115
"380",-7594930.7975,5519993.8115,-7594910.7975,5519973.8115
"381",-7594930.7975,5519973.8115,-7594910.7975,5519953.8115
"382",-7594930.7975,5519953.8115,-7594910.7975,5519933.8115
"383",-7594930.7975,5519933.8115,-7594910.7975,5519913.8115
"385",-7594930.7975,5519893.8115,-7594910.7975,5519873.8115
"413",-7594910.7975,5520313.8115,-7594890.7975,5520293.8115
"427",-7594910.7975,5520033.8115,-7594890.7975,5520013.8115
"428",-7594910.7975,5520013.8115,-7594890.7975,5519993.8115
"429",-7594910.7975,5519993.8115,-7594890.7975,5519973.8115
"430",-7594910.7975,5519973.8115,-7594890.7975,5519953.8115
"431",-7594910.7975,5519953.8115,-7594890.7975,5519933.8115
"432",-7594910.7975,5519933.8115,-7594890.7975,5519913.8115
"433",-7594910.7975,5519913.8115,-7594890.7975,5519893.8115
"434",-7594910.7975,5519893.8115,-7594890.7975,5519873.8115
"462",-7594890.7975,5520313.8115,-7594870.7975,5520293.8115
"463",-7594890.7975,5520293.8115,-7594870.7975,5520273.8115
"464",-7594890.7975,5520273.8115,-7594870.7975,5520253.8115
"476",-7594890.7975,5520033.8115,-7594870.7975,5520013.8115
"477",-7594890.7975,5520013.8115,-7594870.7975,5519993.8115
"478",-7594890.7975,5519993.8115,-7594870.7975,5519973.8115
"479",-7594890.7975,5519973.8115,-7594870.7975,5519953.8115
"480",-7594890.7975,5519953.8115,-7594870.7975,5519933.8115
"481",-7594890.7975,5519933.8115,-7594870.7975,5519913.8115
"482",-7594890.7975,5519913.8115,-7594870.7975,5519893.8115
"483",-7594890.7975,5519893.8115,-7594870.7975,5519873.8115
"502",-7594870.7975,5520493.8115,-7594850.7975,5520473.8115
"503",-7594870.7975,5520473.8115,-7594850.7975,5520453.8115
"504",-7594870.7975,5520453.8115,-7594850.7975,5520433.8115
"505",-7594870.7975,5520433.8115,-7594850.7975,5520413.8115
"511",-7594870.7975,5520313.8115,-7594850.7975,5520293.8115
"512",-7594870.7975,5520293.8115,-7594850.7975,5520273.8115
"513",-7594870.7975,5520273.8115,-7594850.7975,5520253.8115
"514",-7594870.7975,5520253.8115,-7594850.7975,5520233.8115
"528",-7594870.7975,5519973.8115,-7594850.7975,5519953.8115
"529",-7594870.7975,5519953.8115,-7594850.7975,5519933.8115
"530",-7594870.7975,5519933.8115,-7594850.7975,5519913.8115
"531",-7594870.7975,5519913.8115,-7594850.7975,5519893.8115
"532",-7594870.7975,5519893.8115,-7594850.7975,5519873.8115
"550",-7594850.7975,5520513.8115,-7594830.7975,5520493.8115
"551",-7594850.7975,5520493.8115,-7594830.7975,5520473.8115
"552",-7594850.7975,5520473.8115,-7594830.7975,5520453.8115
"553",-7594850.7975,5520453.8115,-7594830.7975,5520433.8115
"554",-7594850.7975,5520433.8115,-7594830.7975,5520413.8115
"555",-7594850.7975,5520413.8115,-7594830.7975,5520393.8115
"556",-7594850.7975,5520393.8115,-7594830.7975,5520373.8115
"557",-7594850.7975,5520373.8115,-7594830.7975,5520353.8115
"560",-7594850.7975,5520313.8115,-7594830.7975,5520293.8115
"561",-7594850.7975,5520293.8115,-7594830.7975,5520273.8115
"562",-7594850.7975,5520273.8115,-7594830.7975,5520253.8115
"563",-7594850.7975,5520253.8115,-7594830.7975,5520233.8115
"602",-7594830.7975,5520453.8115,-7594810.7975,5520433.8115
"603",-7594830.7975,5520433.8115,-7594810.7975,5520413.8115
"604",-7594830.7975,5520413.8115,-7594810.7975,5520393.8115
"605",-7594830.7975,5520393.8115,-7594810.7975,5520373.8115
"606",-7594830.7975,5520373.8115,-7594810.7975,5520353.8115
"607",-7594830.7975,5520353.8115,-7594810.7975,5520333.8115
"864",-7594730.7975,5520113.8115,-7594710.7975,5520093.8115
"865",-7594730.7975,5520093.8115,-7594710.7975,5520073.8115
"866",-7594730.7975,5520073.8115,-7594710.7975,5520053.8115
"911",-7594710.7975,5520153.8115,-7594690.7975,5520133.8115
"912",-7594710.7975,5520133.8115,-7594690.7975,5520113.8115
"913",-7594710.7975,5520113.8115,-7594690.7975,5520093.8115
"914",-7594710.7975,5520093.8115,-7594690.7975,5520073.8115
"957",-7594690.7975,5520213.8115,-7594670.7975,5520193.8115
"958",-7594690.7975,5520193.8115,-7594670.7975,5520173.8115
"959",-7594690.7975,5520173.8115,-7594670.7975,5520153.8115
"960",-7594690.7975,5520153.8115,-7594670.7975,5520133.8115
"961",-7594690.7975,5520133.8115,-7594670.7975,5520113.8115
"962",-7594690.7975,5520113.8115,-7594670.7975,5520093.8115
"963",-7594690.7975,5520093.8115,-7594670.7975,5520073.8115
"1005",-7594670.7975,5520233.8115,-7594650.7975,5520213.8115
"1006",-7594670.7975,5520213.8115,-7594650.7975,5520193.8115
"1007",-7594670.7975,5520193.8115,-7594650.7975,5520173.8115
"1008",-7594670.7975,5520173.8115,-7594650.7975,5520153.8115
"1009",-7594670.7975,5520153.8115,-7594650.7975,5520133.8115
"1010",-7594670.7975,5520133.8115,-7594650.7975,5520113.8115
"1011",-7594670.7975,5520113.8115,-7594650.7975,5520093.8115
"1012",-7594670.7975,5520093.8115,-7594650.7975,5520073.8115
"1013",-7594670.7975,5520073.8115,-7594650.7975,5520053.8115
"1053",-7594650.7975,5520253.8115,-7594630.7975,5520233.8115
"1054",-7594650.7975,5520233.8115,-7594630.7975,5520213.8115
"1055",-7594650.7975,5520213.8115,-7594630.7975,5520193.8115
"1056",-7594650.7975,5520193.8115,-7594630.7975,5520173.8115
"1057",-7594650.7975,5520173.8115,-7594630.7975,5520153.8115
"1058",-7594650.7975,5520153.8115,-7594630.7975,5520133.8115
"1059",-7594650.7975,5520133.8115,-7594630.7975,5520113.8115
"1060",-7594650.7975,5520113.8115,-7594630.7975,5520093.8115
