id,left,top,right,bottom
"2983",-7590953.7943,5514055.7449,-7590933.7943,5514035.7449
"3060",-7590933.7943,5514035.7449,-7590913.7943,5514015.7449
"3136",-7590913.7943,5514035.7449,-7590893.7943,5514015.7449
"3137",-7590913.7943,5514015.7449,-7590893.7943,5513995.7449
"3139",-7590913.7943,5513975.7449,-7590893.7943,5513955.7449
"3140",-7590913.7943,5513955.7449,-7590893.7943,5513935.7449
"3141",-7590913.7943,5513935.7449,-7590893.7943,5513915.7449
"3142",-7590913.7943,5513915.7449,-7590893.7943,5513895.7449
"3213",-7590893.7943,5514015.7449,-7590873.7943,5513995.7449
"3214",-7590893.7943,5513995.7449,-7590873.7943,5513975.7449
"3215",-7590893.7943,5513975.7449,-7590873.7943,5513955.7449
"3216",-7590893.7943,5513955.7449,-7590873.7943,5513935.7449
"3217",-7590893.7943,5513935.7449,-7590873.7943,5513915.7449
"3218",-7590893.7943,5513915.7449,-7590873.7943,5513895.7449
"3291",-7590873.7943,5513975.7449,-7590853.7943,5513955.7449
"3295",-7590873.7943,5513895.7449,-7590853.7943,5513875.7449
"3371",-7590853.7943,5513895.7449,-7590833.7943,5513875.7449
"3408",-7590853.7943,5513155.7449,-7590833.7943,5513135.7449
"3448",-7590833.7943,5513875.7449,-7590813.7943,5513855.7449
"3449",-7590833.7943,5513855.7449,-7590813.7943,5513835.7449
"3450",-7590833.7943,5513835.7449,-7590813.7943,5513815.7449
"3451",-7590833.7943,5513815.7449,-7590813.7943,5513795.7449
"3452",-7590833.7943,5513795.7449,-7590813.7943,5513775.7449
"3453",-7590833.7943,5513775.7449,-7590813.7943,5513755.7449
"3454",-7590833.7943,5513755.7449,-7590813.7943,5513735.7449
"3455",-7590833.7943,5513735.7449,-7590813.7943,5513715.7449
"3465",-7590833.7943,5513535.7449,-7590813.7943,5513515.7449
"3466",-7590833.7943,5513515.7449,-7590813.7943,5513495.7449
"3467",-7590833.7943,5513495.7449,-7590813.7943,5513475.7449
"3468",-7590833.7943,5513475.7449,-7590813.7943,5513455.7449
"3469",-7590833.7943,5513455.7449,-7590813.7943,5513435.7449
"3483",-7590833.7943,5513175.7449,-7590813.7943,5513155.7449
"3484",-7590833.7943,5513155.7449,-7590813.7943,5513135.7449
"3525",-7590813.7943,5513855.7449,-7590793.7943,5513835.7449
"3526",-7590813.7943,5513835.7449,-7590793.7943,5513815.7449
"3527",-7590813.7943,5513815.7449,-7590793.7943,5513795.7449
"3528",-7590813.7943,5513795.7449,-7590793.7943,5513775.7449
"3529",-7590813.7943,5513775.7449,-7590793.7943,5513755.7449
"3530",-7590813.7943,5513755.7449,-7590793.7943,5513735.7449
"3531",-7590813.7943,5513735.7449,-7590793.7943,5513715.7449
"3532",-7590813.7943,5513715.7449,-7590793.7943,5513695.7449
"3537",-7590813.7943,5513615.7449,-7590793.7943,5513595.7449
"3538",-7590813.7943,5513595.7449,-7590793.7943,5513575.7449
"3539",-7590813.7943,5513575.7449,-7590793.7943,5513555.7449
"3540",-7590813.7943,5513555.7449,-7590793.7943,5513535.7449
"3541",-7590813.7943,5513535.7449,-7590793.7943,5513515.7449
"3542",-7590813.7943,5513515.7449,-7590793.7943,5513495.7449
"3543",-7590813.7943,5513495.7449,-7590793.7943,5513475.7449
"3544",-7590813.7943,5513475.7449,-7590793.7943,5513455.7449
"3545",-7590813.7943,5513455.7449,-7590793.7943,5513435.7449
"3546",-7590813.7943,5513435.7449,-7590793.7943,5513415.7449
"3557",-7590813.7943,5513215.7449,-7590793.7943,5513195.7449
"3558",-7590813.7943,5513195.7449,-7590793.7943,5513175.7449
"3603",-7590793.7943,5513815.7449,-7590773.7943,5513795.7449
