id,left,top,right,bottom
"599",-7600102.7767,5517506.8505,-7600082.7767,5517486.8505
"600",-7600102.7767,5517486.8505,-7600082.7767,5517466.8505
"655",-7600082.7767,5517546.8505,-7600062.7767,5517526.8505
"656",-7600082.7767,5517526.8505,-7600062.7767,5517506.8505
"657",-7600082.7767,5517506.8505,-7600062.7767,5517486.8505
"711",-7600062.7767,5517586.8505,-7600042.7767,5517566.8505
"712",-7600062.7767,5517566.8505,-7600042.7767,5517546.8505
"713",-7600062.7767,5517546.8505,-7600042.7767,5517526.8505
"714",-7600062.7767,5517526.8505,-7600042.7767,5517506.8505
"762",-7600042.7767,5517726.8505,-7600022.7767,5517706.8505
"763",-7600042.7767,5517706.8505,-7600022.7767,5517686.8505
"764",-7600042.7767,5517686.8505,-7600022.7767,5517666.8505
"765",-7600042.7767,5517666.8505,-7600022.7767,5517646.8505
"766",-7600042.7767,5517646.8505,-7600022.7767,5517626.8505
"769",-7600042.7767,5517586.8505,-7600022.7767,5517566.8505
"770",-7600042.7767,5517566.8505,-7600022.7767,5517546.8505
"820",-7600022.7767,5517726.8505,-7600002.7767,5517706.8505
"821",-7600022.7767,5517706.8505,-7600002.7767,5517686.8505
"822",-7600022.7767,5517686.8505,-7600002.7767,5517666.8505
"823",-7600022.7767,5517666.8505,-7600002.7767,5517646.8505
"824",-7600022.7767,5517646.8505,-7600002.7767,5517626.8505
"825",-7600022.7767,5517626.8505,-7600002.7767,5517606.8505
"826",-7600022.7767,5517606.8505,-7600002.7767,5517586.8505
"827",-7600022.7767,5517586.8505,-7600002.7767,5517566.8505
"828",-7600022.7767,5517566.8505,-7600002.7767,5517546.8505
"878",-7600002.7767,5517726.8505,-7599982.7767,5517706.8505
"879",-7600002.7767,5517706.8505,-7599982.7767,5517686.8505
"880",-7600002.7767,5517686.8505,-7599982.7767,5517666.8505
"881",-7600002.7767,5517666.8505,-7599982.7767,5517646.8505
"882",-7600002.7767,5517646.8505,-7599982.7767,5517626.8505
"883",-7600002.7767,5517626.8505,-7599982.7767,5517606.8505
"884",-7600002.7767,5517606.8505,-7599982.7767,5517586.8505
"936",-7599982.7767,5517726.8505,-7599962.7767,5517706.8505
"937",-7599982.7767,5517706.8505,-7599962.7767,5517686.8505
"938",-7599982.7767,5517686.8505,-7599962.7767,5517666.8505
"939",-7599982.7767,5517666.8505,-7599962.7767,5517646.8505
"940",-7599982.7767,5517646.8505,-7599962.7767,5517626.8505
"992",-7599962.7767,5517766.8505,-7599942.7767,5517746.8505
"993",-7599962.7767,5517746.8505,-7599942.7767,5517726.8505
"994",-7599962.7767,5517726.8505,-7599942.7767,5517706.8505
"995",-7599962.7767,5517706.8505,-7599942.7767,5517686.8505
"996",-7599962.7767,5517686.8505,-7599942.7767,5517666.8505
"997",-7599962.7767,5517666.8505,-7599942.7767,5517646.8505
"998",-7599962.7767,5517646.8505,-7599942.7767,5517626.8505
"1007",-7599962.7767,5517466.8505,-7599942.7767,5517446.8505
"1008",-7599962.7767,5517446.8505,-7599942.7767,5517426.8505
"1050",-7599942.7767,5517766.8505,-7599922.7767,5517746.8505
"1051",-7599942.7767,5517746.8505,-7599922.7767,5517726.8505
"1052",-7599942.7767,5517726.8505,-7599922.7767,5517706.8505
"1053",-7599942.7767,5517706.8505,-7599922.7767,5517686.8505
"1054",-7599942.7767,5517686.8505,-7599922.7767,5517666.8505
"1064",-7599942.7767,5517486.8505,-7599922.7767,5517466.8505
"1065",-7599942.7767,5517466.8505,-7599922.7767,5517446.8505
"1066",-7599942.7767,5517446.8505,-7599922.7767,5517426.8505
"1067",-7599942.7767,5517426.8505,-7599922.7767,5517406.8505
"1068",-7599942.7767,5517406.8505,-7599922.7767,5517386.8505
"1069",-7599942.7767,5517386.8505,-7599922.7767,5517366.8505
"1070",-7599942.7767,5517366.8505,-7599922.7767,5517346.8505
"1071",-7599942.7767,5517346.8505,-7599922.7767,5517326.8505
"1108",-7599922.7767,5517766.8505,-7599902.7767,5517746.8505
"1109",-7599922.7767,5517746.8505,-7599902.7767,5517726.8505
"1110",-7599922.7767,5517726.8505,-7599902.7767,5517706.8505
"1111",-7599922.7767,5517706.8505,-7599902.7767,5517686.8505
"1112",-7599922.7767,5517686.8505,-7599902.7767,5517666.8505
"1122",-7599922.7767,5517486.8505,-7599902.7767,5517466.8505
"1123",-7599922.7767,5517466.8505,-7599902.7767,5517446.8505
"1124",-7599922.7767,5517446.8505,-7599902.7767,5517426.8505
"1125",-7599922.7767,5517426.8505,-7599902.7767,5517406.8505
"1126",-7599922.7767,5517406.8505,-7599902.7767,5517386.8505
"1127",-7599922.7767,5517386.8505,-7599902.7767,5517366.8505
"1128",-7599922.7767,5517366.8505,-7599902.7767,5517346.8505
"1129",-7599922.7767,5517346.8505,-7599902.7767,5517326.8505
"1166",-7599902.7767,5517766.8505,-7599882.7767,5517746.8505
"1167",-7599902.7767,5517746.8505,-7599882.7767,5517726.8505
"1168",-7599902.7767,5517726.8505,-7599882.7767,5517706.8505
"1169",-7599902.7767,5517706.8505,-7599882.7767,5517686.8505
"1170",-7599902.7767,5517686.8505,-7599882.7767,5517666.8505
"1171",-7599902.7767,5517666.8505,-7599882.7767,5517646.8505
"1179",-7599902.7767,5517506.8505,-7599882.7767,5517486.8505
"1180",-7599902.7767,5517486.8505,-7599882.7767,5517466.8505
"1181",-7599902.7767,5517466.8505,-7599882.7767,5517446.8505
"1182",-7599902.7767,5517446.8505,-7599882.7767,5517426.8505
"1183",-7599902.7767,5517426.8505,-7599882.7767,5517406.8505
"1184",-7599902.7767,5517406.8505,-7599882.7767,5517386.8505
"1185",-7599902.7767,5517386.8505,-7599882.7767,5517366.8505
"1186",-7599902.7767,5517366.8505,-7599882.7767,5517346.8505
"1187",-7599902.7767,5517346.8505,-7599882.7767,5517326.8505
"1237",-7599882.7767,5517506.8505,-7599862.7767,5517486.8505
"1238",-7599882.7767,5517486.8505,-7599862.7767,5517466.8505
"1239",-7599882.7767,5517466.8505,-7599862.7767,5517446.8505
"2527",-7599442.7767,5517226.8505,-7599422.7767,5517206.8505
"2528",-7599442.7767,5517206.8505,-7599422.7767,5517186.8505
"2529",-7599442.7767,5517186.8505,-7599422.7767,5517166.8505
"2530",-7599442.7767,5517166.8505,-7599422.7767,5517146.8505
"2531",-7599442.7767,5517146.8505,-7599422.7767,5517126.8505
"2532",-7599442.7767,5517126.8505,-7599422.7767,5517106.8505
"2533",-7599442.7767,5517106.8505,-7599422.7767,5517086.8505
"2534",-7599442.7767,5517086.8505,-7599422.7767,5517066.8505
"2585",-7599422.7767,5517226.8505,-7599402.7767,5517206.8505
"2586",-7599422.7767,5517206.8505,-7599402.7767,5517186.8505
"2587",-7599422.7767,5517186.8505,-7599402.7767,5517166.8505
"2588",-7599422.7767,5517166.8505,-7599402.7767,5517146.8505
"2589",-7599422.7767,5517146.8505,-7599402.7767,5517126.8505
"2590",-7599422.7767,5517126.8505,-7599402.7767,5517106.8505
"2591",-7599422.7767,5517106.8505,-7599402.7767,5517086.8505
"2592",-7599422.7767,5517086.8505,-7599402.7767,5517066.8505
"2643",-7599402.7767,5517226.8505,-7599382.7767,5517206.8505
"2644",-7599402.7767,5517206.8505,-7599382.7767,5517186.8505
"2645",-7599402.7767,5517186.8505,-7599382.7767,5517166.8505
"2646",-7599402.7767,5517166.8505,-7599382.7767,5517146.8505
"2647",-7599402.7767,5517146.8505,-7599382.7767,5517126.8505
"2648",-7599402.7767,5517126.8505,-7599382.7767,5517106.8505
"2649",-7599402.7767,5517106.8505,-7599382.7767,5517086.8505
"2650",-7599402.7767,5517086.8505,-7599382.7767,5517066.8505
"2703",-7599382.7767,5517186.8505,-7599362.7767,5517166.8505
"2704",-7599382.7767,5517166.8505,-7599362.7767,5517146.8505
"2705",-7599382.7767,5517146.8505,-7599362.7767,5517126.8505
"2706",-7599382.7767,5517126.8505,-7599362.7767,5517106.8505
"2707",-7599382.7767,5517106.8505,-7599362.7767,5517086.8505
"2708",-7599382.7767,5517086.8505,-7599362.7767,5517066.8505
