id,left,top,right,bottom
"15",-7575800.0031,5519794.2546,-7575780.0031,5519774.2546
"16",-7575800.0031,5519774.2546,-7575780.0031,5519754.2546
"46",-7575780.0031,5519794.2546,-7575760.0031,5519774.2546
"47",-7575780.0031,5519774.2546,-7575760.0031,5519754.2546
"77",-7575760.0031,5519794.2546,-7575740.0031,5519774.2546
"78",-7575760.0031,5519774.2546,-7575740.0031,5519754.2546
"108",-7575740.0031,5519794.2546,-7575720.0031,5519774.2546
"109",-7575740.0031,5519774.2546,-7575720.0031,5519754.2546
"140",-7575720.0031,5519774.2546,-7575700.0031,5519754.2546
"141",-7575720.0031,5519754.2546,-7575700.0031,5519734.2546
"148",-7575720.0031,5519614.2546,-7575700.0031,5519594.2546
"149",-7575720.0031,5519594.2546,-7575700.0031,5519574.2546
"153",-7575720.0031,5519514.2546,-7575700.0031,5519494.2546
"155",-7575720.0031,5519474.2546,-7575700.0031,5519454.2546
"172",-7575700.0031,5519754.2546,-7575680.0031,5519734.2546
"178",-7575700.0031,5519634.2546,-7575680.0031,5519614.2546
"179",-7575700.0031,5519614.2546,-7575680.0031,5519594.2546
"180",-7575700.0031,5519594.2546,-7575680.0031,5519574.2546
"181",-7575700.0031,5519574.2546,-7575680.0031,5519554.2546
"182",-7575700.0031,5519554.2546,-7575680.0031,5519534.2546
"183",-7575700.0031,5519534.2546,-7575680.0031,5519514.2546
"184",-7575700.0031,5519514.2546,-7575680.0031,5519494.2546
"185",-7575700.0031,5519494.2546,-7575680.0031,5519474.2546
"186",-7575700.0031,5519474.2546,-7575680.0031,5519454.2546
"203",-7575680.0031,5519754.2546,-7575660.0031,5519734.2546
"208",-7575680.0031,5519654.2546,-7575660.0031,5519634.2546
"209",-7575680.0031,5519634.2546,-7575660.0031,5519614.2546
"210",-7575680.0031,5519614.2546,-7575660.0031,5519594.2546
"211",-7575680.0031,5519594.2546,-7575660.0031,5519574.2546
"212",-7575680.0031,5519574.2546,-7575660.0031,5519554.2546
"213",-7575680.0031,5519554.2546,-7575660.0031,5519534.2546
"214",-7575680.0031,5519534.2546,-7575660.0031,5519514.2546
"215",-7575680.0031,5519514.2546,-7575660.0031,5519494.2546
"217",-7575680.0031,5519474.2546,-7575660.0031,5519454.2546
"240",-7575660.0031,5519634.2546,-7575640.0031,5519614.2546
"242",-7575660.0031,5519594.2546,-7575640.0031,5519574.2546
"243",-7575660.0031,5519574.2546,-7575640.0031,5519554.2546
"244",-7575660.0031,5519554.2546,-7575640.0031,5519534.2546
"246",-7575660.0031,5519514.2546,-7575640.0031,5519494.2546
"253",-7575640.0031,5519994.2546,-7575620.0031,5519974.2546
"254",-7575640.0031,5519974.2546,-7575620.0031,5519954.2546
"255",-7575640.0031,5519954.2546,-7575620.0031,5519934.2546
"256",-7575640.0031,5519934.2546,-7575620.0031,5519914.2546
"257",-7575640.0031,5519914.2546,-7575620.0031,5519894.2546
"258",-7575640.0031,5519894.2546,-7575620.0031,5519874.2546
"259",-7575640.0031,5519874.2546,-7575620.0031,5519854.2546
"260",-7575640.0031,5519854.2546,-7575620.0031,5519834.2546
"261",-7575640.0031,5519834.2546,-7575620.0031,5519814.2546
"262",-7575640.0031,5519814.2546,-7575620.0031,5519794.2546
"263",-7575640.0031,5519794.2546,-7575620.0031,5519774.2546
"264",-7575640.0031,5519774.2546,-7575620.0031,5519754.2546
"265",-7575640.0031,5519754.2546,-7575620.0031,5519734.2546
"284",-7575620.0031,5519994.2546,-7575600.0031,5519974.2546
"285",-7575620.0031,5519974.2546,-7575600.0031,5519954.2546
"286",-7575620.0031,5519954.2546,-7575600.0031,5519934.2546
"287",-7575620.0031,5519934.2546,-7575600.0031,5519914.2546
"288",-7575620.0031,5519914.2546,-7575600.0031,5519894.2546
"289",-7575620.0031,5519894.2546,-7575600.0031,5519874.2546
"290",-7575620.0031,5519874.2546,-7575600.0031,5519854.2546
"291",-7575620.0031,5519854.2546,-7575600.0031,5519834.2546
"292",-7575620.0031,5519834.2546,-7575600.0031,5519814.2546
"293",-7575620.0031,5519814.2546,-7575600.0031,5519794.2546
"294",-7575620.0031,5519794.2546,-7575600.0031,5519774.2546
"295",-7575620.0031,5519774.2546,-7575600.0031,5519754.2546
"296",-7575620.0031,5519754.2546,-7575600.0031,5519734.2546
"297",-7575620.0031,5519734.2546,-7575600.0031,5519714.2546
"318",-7575600.0031,5519934.2546,-7575580.0031,5519914.2546
"319",-7575600.0031,5519914.2546,-7575580.0031,5519894.2546
"322",-7575600.0031,5519854.2546,-7575580.0031,5519834.2546
"323",-7575600.0031,5519834.2546,-7575580.0031,5519814.2546
"324",-7575600.0031,5519814.2546,-7575580.0031,5519794.2546
"325",-7575600.0031,5519794.2546,-7575580.0031,5519774.2546
"326",-7575600.0031,5519774.2546,-7575580.0031,5519754.2546
"327",-7575600.0031,5519754.2546,-7575580.0031,5519734.2546
"328",-7575600.0031,5519734.2546,-7575580.0031,5519714.2546
"329",-7575600.0031,5519714.2546,-7575580.0031,5519694.2546
"330",-7575600.0031,5519694.2546,-7575580.0031,5519674.2546
"331",-7575600.0031,5519674.2546,-7575580.0031,5519654.2546
"332",-7575600.0031,5519654.2546,-7575580.0031,5519634.2546
"334",-7575600.0031,5519614.2546,-7575580.0031,5519594.2546
"353",-7575580.0031,5519854.2546,-7575560.0031,5519834.2546
"354",-7575580.0031,5519834.2546,-7575560.0031,5519814.2546
"355",-7575580.0031,5519814.2546,-7575560.0031,5519794.2546
"356",-7575580.0031,5519794.2546,-7575560.0031,5519774.2546
"357",-7575580.0031,5519774.2546,-7575560.0031,5519754.2546
"358",-7575580.0031,5519754.2546,-7575560.0031,5519734.2546
"359",-7575580.0031,5519734.2546,-7575560.0031,5519714.2546
"360",-7575580.0031,5519714.2546,-7575560.0031,5519694.2546
"361",-7575580.0031,5519694.2546,-7575560.0031,5519674.2546
"362",-7575580.0031,5519674.2546,-7575560.0031,5519654.2546
"363",-7575580.0031,5519654.2546,-7575560.0031,5519634.2546
"364",-7575580.0031,5519634.2546,-7575560.0031,5519614.2546
"365",-7575580.0031,5519614.2546,-7575560.0031,5519594.2546
"366",-7575580.0031,5519594.2546,-7575560.0031,5519574.2546
"383",-7575560.0031,5519874.2546,-7575540.0031,5519854.2546
"384",-7575560.0031,5519854.2546,-7575540.0031,5519834.2546
"385",-7575560.0031,5519834.2546,-7575540.0031,5519814.2546
"386",-7575560.0031,5519814.2546,-7575540.0031,5519794.2546
"387",-7575560.0031,5519794.2546,-7575540.0031,5519774.2546
"388",-7575560.0031,5519774.2546,-7575540.0031,5519754.2546
"389",-7575560.0031,5519754.2546,-7575540.0031,5519734.2546
"390",-7575560.0031,5519734.2546,-7575540.0031,5519714.2546
"391",-7575560.0031,5519714.2546,-7575540.0031,5519694.2546
"392",-7575560.0031,5519694.2546,-7575540.0031,5519674.2546
"397",-7575560.0031,5519594.2546,-7575540.0031,5519574.2546
"414",-7575540.0031,5519874.2546,-7575520.0031,5519854.2546
"415",-7575540.0031,5519854.2546,-7575520.0031,5519834.2546
"416",-7575540.0031,5519834.2546,-7575520.0031,5519814.2546
"417",-7575540.0031,5519814.2546,-7575520.0031,5519794.2546
"418",-7575540.0031,5519794.2546,-7575520.0031,5519774.2546
"419",-7575540.0031,5519774.2546,-7575520.0031,5519754.2546
"420",-7575540.0031,5519754.2546,-7575520.0031,5519734.2546
"421",-7575540.0031,5519734.2546,-7575520.0031,5519714.2546
"428",-7575540.0031,5519594.2546,-7575520.0031,5519574.2546
"429",-7575540.0031,5519574.2546,-7575520.0031,5519554.2546
"445",-7575520.0031,5519874.2546,-7575500.0031,5519854.2546
"446",-7575520.0031,5519854.2546,-7575500.0031,5519834.2546
"447",-7575520.0031,5519834.2546,-7575500.0031,5519814.2546
"448",-7575520.0031,5519814.2546,-7575500.0031,5519794.2546
"460",-7575520.0031,5519574.2546,-7575500.0031,5519554.2546
