id,left,top,right,bottom
"699",-7586274.9012,5554671.5865,-7586254.9012,5554651.5865
"700",-7586274.9012,5554651.5865,-7586254.9012,5554631.5865
"701",-7586274.9012,5554631.5865,-7586254.9012,5554611.5865
"702",-7586274.9012,5554611.5865,-7586254.9012,5554591.5865
"703",-7586274.9012,5554591.5865,-7586254.9012,5554571.5865
"704",-7586274.9012,5554571.5865,-7586254.9012,5554551.5865
"736",-7586254.9012,5554691.5865,-7586234.9012,5554671.5865
"737",-7586254.9012,5554671.5865,-7586234.9012,5554651.5865
"738",-7586254.9012,5554651.5865,-7586234.9012,5554631.5865
"739",-7586254.9012,5554631.5865,-7586234.9012,5554611.5865
"740",-7586254.9012,5554611.5865,-7586234.9012,5554591.5865
"741",-7586254.9012,5554591.5865,-7586234.9012,5554571.5865
"742",-7586254.9012,5554571.5865,-7586234.9012,5554551.5865
"774",-7586234.9012,5554691.5865,-7586214.9012,5554671.5865
"775",-7586234.9012,5554671.5865,-7586214.9012,5554651.5865
"776",-7586234.9012,5554651.5865,-7586214.9012,5554631.5865
"777",-7586234.9012,5554631.5865,-7586214.9012,5554611.5865
"778",-7586234.9012,5554611.5865,-7586214.9012,5554591.5865
"779",-7586234.9012,5554591.5865,-7586214.9012,5554571.5865
"780",-7586234.9012,5554571.5865,-7586214.9012,5554551.5865
"812",-7586214.9012,5554691.5865,-7586194.9012,5554671.5865
"813",-7586214.9012,5554671.5865,-7586194.9012,5554651.5865
"814",-7586214.9012,5554651.5865,-7586194.9012,5554631.5865
"815",-7586214.9012,5554631.5865,-7586194.9012,5554611.5865
"816",-7586214.9012,5554611.5865,-7586194.9012,5554591.5865
"817",-7586214.9012,5554591.5865,-7586194.9012,5554571.5865
"818",-7586214.9012,5554571.5865,-7586194.9012,5554551.5865
"849",-7586194.9012,5554711.5865,-7586174.9012,5554691.5865
"850",-7586194.9012,5554691.5865,-7586174.9012,5554671.5865
"851",-7586194.9012,5554671.5865,-7586174.9012,5554651.5865
"852",-7586194.9012,5554651.5865,-7586174.9012,5554631.5865
"853",-7586194.9012,5554631.5865,-7586174.9012,5554611.5865
"854",-7586194.9012,5554611.5865,-7586174.9012,5554591.5865
"855",-7586194.9012,5554591.5865,-7586174.9012,5554571.5865
"856",-7586194.9012,5554571.5865,-7586174.9012,5554551.5865
"887",-7586174.9012,5554711.5865,-7586154.9012,5554691.5865
"888",-7586174.9012,5554691.5865,-7586154.9012,5554671.5865
"889",-7586174.9012,5554671.5865,-7586154.9012,5554651.5865
"890",-7586174.9012,5554651.5865,-7586154.9012,5554631.5865
"891",-7586174.9012,5554631.5865,-7586154.9012,5554611.5865
"892",-7586174.9012,5554611.5865,-7586154.9012,5554591.5865
"893",-7586174.9012,5554591.5865,-7586154.9012,5554571.5865
"894",-7586174.9012,5554571.5865,-7586154.9012,5554551.5865
"925",-7586154.9012,5554711.5865,-7586134.9012,5554691.5865
"926",-7586154.9012,5554691.5865,-7586134.9012,5554671.5865
"927",-7586154.9012,5554671.5865,-7586134.9012,5554651.5865
"928",-7586154.9012,5554651.5865,-7586134.9012,5554631.5865
"929",-7586154.9012,5554631.5865,-7586134.9012,5554611.5865
"930",-7586154.9012,5554611.5865,-7586134.9012,5554591.5865
"931",-7586154.9012,5554591.5865,-7586134.9012,5554571.5865
"932",-7586154.9012,5554571.5865,-7586134.9012,5554551.5865
"963",-7586134.9012,5554711.5865,-7586114.9012,5554691.5865
"964",-7586134.9012,5554691.5865,-7586114.9012,5554671.5865
"965",-7586134.9012,5554671.5865,-7586114.9012,5554651.5865
"966",-7586134.9012,5554651.5865,-7586114.9012,5554631.5865
"967",-7586134.9012,5554631.5865,-7586114.9012,5554611.5865
"968",-7586134.9012,5554611.5865,-7586114.9012,5554591.5865
"969",-7586134.9012,5554591.5865,-7586114.9012,5554571.5865
"970",-7586134.9012,5554571.5865,-7586114.9012,5554551.5865
"1001",-7586114.9012,5554711.5865,-7586094.9012,5554691.5865
"1002",-7586114.9012,5554691.5865,-7586094.9012,5554671.5865
"1003",-7586114.9012,5554671.5865,-7586094.9012,5554651.5865
"1004",-7586114.9012,5554651.5865,-7586094.9012,5554631.5865
"1005",-7586114.9012,5554631.5865,-7586094.9012,5554611.5865
"1006",-7586114.9012,5554611.5865,-7586094.9012,5554591.5865
"1007",-7586114.9012,5554591.5865,-7586094.9012,5554571.5865
"1008",-7586114.9012,5554571.5865,-7586094.9012,5554551.5865
"1039",-7586094.9012,5554711.5865,-7586074.9012,5554691.5865
"1040",-7586094.9012,5554691.5865,-7586074.9012,5554671.5865
"1041",-7586094.9012,5554671.5865,-7586074.9012,5554651.5865
"1042",-7586094.9012,5554651.5865,-7586074.9012,5554631.5865
"1043",-7586094.9012,5554631.5865,-7586074.9012,5554611.5865
"1044",-7586094.9012,5554611.5865,-7586074.9012,5554591.5865
"1045",-7586094.9012,5554591.5865,-7586074.9012,5554571.5865
"1046",-7586094.9012,5554571.5865,-7586074.9012,5554551.5865
"1077",-7586074.9012,5554711.5865,-7586054.9012,5554691.5865
"1078",-7586074.9012,5554691.5865,-7586054.9012,5554671.5865
"1079",-7586074.9012,5554671.5865,-7586054.9012,5554651.5865
"1080",-7586074.9012,5554651.5865,-7586054.9012,5554631.5865
"1081",-7586074.9012,5554631.5865,-7586054.9012,5554611.5865
"1082",-7586074.9012,5554611.5865,-7586054.9012,5554591.5865
"1083",-7586074.9012,5554591.5865,-7586054.9012,5554571.5865
"1084",-7586074.9012,5554571.5865,-7586054.9012,5554551.5865
"1115",-7586054.9012,5554711.5865,-7586034.9012,5554691.5865
"1116",-7586054.9012,5554691.5865,-7586034.9012,5554671.5865
"1117",-7586054.9012,5554671.5865,-7586034.9012,5554651.5865
"1118",-7586054.9012,5554651.5865,-7586034.9012,5554631.5865
"1119",-7586054.9012,5554631.5865,-7586034.9012,5554611.5865
"1120",-7586054.9012,5554611.5865,-7586034.9012,5554591.5865
"1121",-7586054.9012,5554591.5865,-7586034.9012,5554571.5865
"1122",-7586054.9012,5554571.5865,-7586034.9012,5554551.5865
"1153",-7586034.9012,5554711.5865,-7586014.9012,5554691.5865
"1154",-7586034.9012,5554691.5865,-7586014.9012,5554671.5865
"1155",-7586034.9012,5554671.5865,-7586014.9012,5554651.5865
"1156",-7586034.9012,5554651.5865,-7586014.9012,5554631.5865
"1157",-7586034.9012,5554631.5865,-7586014.9012,5554611.5865
"1158",-7586034.9012,5554611.5865,-7586014.9012,5554591.5865
"1159",-7586034.9012,5554591.5865,-7586014.9012,5554571.5865
"1160",-7586034.9012,5554571.5865,-7586014.9012,5554551.5865
"1192",-7586014.9012,5554691.5865,-7585994.9012,5554671.5865
"1193",-7586014.9012,5554671.5865,-7585994.9012,5554651.5865
"1194",-7586014.9012,5554651.5865,-7585994.9012,5554631.5865
"1195",-7586014.9012,5554631.5865,-7585994.9012,5554611.5865
"1196",-7586014.9012,5554611.5865,-7585994.9012,5554591.5865
"1197",-7586014.9012,5554591.5865,-7585994.9012,5554571.5865
"1198",-7586014.9012,5554571.5865,-7585994.9012,5554551.5865
"1234",-7585994.9012,5554611.5865,-7585974.9012,5554591.5865
"1235",-7585994.9012,5554591.5865,-7585974.9012,5554571.5865
"1236",-7585994.9012,5554571.5865,-7585974.9012,5554551.5865
"1304",-7585954.9012,5554731.5865,-7585934.9012,5554711.5865
"1305",-7585954.9012,5554711.5865,-7585934.9012,5554691.5865
"1342",-7585934.9012,5554731.5865,-7585914.9012,5554711.5865
"1380",-7585914.9012,5554731.5865,-7585894.9012,5554711.5865
"1383",-7585914.9012,5554671.5865,-7585894.9012,5554651.5865
"1384",-7585914.9012,5554651.5865,-7585894.9012,5554631.5865
"1418",-7585894.9012,5554731.5865,-7585874.9012,5554711.5865
