id,left,top,right,bottom
"3139",-7605561.8541,5500768.6141,-7605541.8541,5500748.6141
"3140",-7605561.8541,5500748.6141,-7605541.8541,5500728.6141
"3228",-7605541.8541,5500748.6141,-7605521.8541,5500728.6141
"3229",-7605541.8541,5500728.6141,-7605521.8541,5500708.6141
"3317",-7605521.8541,5500728.6141,-7605501.8541,5500708.6141
"3318",-7605521.8541,5500708.6141,-7605501.8541,5500688.6141
"3406",-7605501.8541,5500708.6141,-7605481.8541,5500688.6141
"3407",-7605501.8541,5500688.6141,-7605481.8541,5500668.6141
"3496",-7605481.8541,5500668.6141,-7605461.8541,5500648.6141
"3497",-7605481.8541,5500648.6141,-7605461.8541,5500628.6141
"3585",-7605461.8541,5500648.6141,-7605441.8541,5500628.6141
"3586",-7605461.8541,5500628.6141,-7605441.8541,5500608.6141
"3587",-7605461.8541,5500608.6141,-7605441.8541,5500588.6141
"3675",-7605441.8541,5500608.6141,-7605421.8541,5500588.6141
"3676",-7605441.8541,5500588.6141,-7605421.8541,5500568.6141
"3764",-7605421.8541,5500588.6141,-7605401.8541,5500568.6141
"3765",-7605421.8541,5500568.6141,-7605401.8541,5500548.6141
"3766",-7605421.8541,5500548.6141,-7605401.8541,5500528.6141
"3853",-7605401.8541,5500568.6141,-7605381.8541,5500548.6141
"3854",-7605401.8541,5500548.6141,-7605381.8541,5500528.6141
"3855",-7605401.8541,5500528.6141,-7605381.8541,5500508.6141
"3941",-7605381.8541,5500568.6141,-7605361.8541,5500548.6141
"3942",-7605381.8541,5500548.6141,-7605361.8541,5500528.6141
"3943",-7605381.8541,5500528.6141,-7605361.8541,5500508.6141
"4031",-7605361.8541,5500528.6141,-7605341.8541,5500508.6141
"4032",-7605361.8541,5500508.6141,-7605341.8541,5500488.6141
"4119",-7605341.8541,5500528.6141,-7605321.8541,5500508.6141
"4120",-7605341.8541,5500508.6141,-7605321.8541,5500488.6141
"4121",-7605341.8541,5500488.6141,-7605321.8541,5500468.6141
"4208",-7605321.8541,5500508.6141,-7605301.8541,5500488.6141
"4209",-7605321.8541,5500488.6141,-7605301.8541,5500468.6141
"4210",-7605321.8541,5500468.6141,-7605301.8541,5500448.6141
"4297",-7605301.8541,5500488.6141,-7605281.8541,5500468.6141
"4298",-7605301.8541,5500468.6141,-7605281.8541,5500448.6141
"4385",-7605281.8541,5500488.6141,-7605261.8541,5500468.6141
"4386",-7605281.8541,5500468.6141,-7605261.8541,5500448.6141
"4474",-7605261.8541,5500468.6141,-7605241.8541,5500448.6141
"4475",-7605261.8541,5500448.6141,-7605241.8541,5500428.6141
"4476",-7605261.8541,5500428.6141,-7605241.8541,5500408.6141
"4563",-7605241.8541,5500448.6141,-7605221.8541,5500428.6141
"4564",-7605241.8541,5500428.6141,-7605221.8541,5500408.6141
"4652",-7605221.8541,5500428.6141,-7605201.8541,5500408.6141
"4653",-7605221.8541,5500408.6141,-7605201.8541,5500388.6141
"4740",-7605201.8541,5500428.6141,-7605181.8541,5500408.6141
"4741",-7605201.8541,5500408.6141,-7605181.8541,5500388.6141
"4828",-7605181.8541,5500428.6141,-7605161.8541,5500408.6141
"4829",-7605181.8541,5500408.6141,-7605161.8541,5500388.6141
"4916",-7605161.8541,5500428.6141,-7605141.8541,5500408.6141
"4917",-7605161.8541,5500408.6141,-7605141.8541,5500388.6141
"5004",-7605141.8541,5500428.6141,-7605121.8541,5500408.6141
"5005",-7605141.8541,5500408.6141,-7605121.8541,5500388.6141
"5006",-7605141.8541,5500388.6141,-7605121.8541,5500368.6141
"5092",-7605121.8541,5500428.6141,-7605101.8541,5500408.6141
"5093",-7605121.8541,5500408.6141,-7605101.8541,5500388.6141
"5094",-7605121.8541,5500388.6141,-7605101.8541,5500368.6141
"5179",-7605101.8541,5500448.6141,-7605081.8541,5500428.6141
"5180",-7605101.8541,5500428.6141,-7605081.8541,5500408.6141
"5181",-7605101.8541,5500408.6141,-7605081.8541,5500388.6141
"5182",-7605101.8541,5500388.6141,-7605081.8541,5500368.6141
"5265",-7605081.8541,5500488.6141,-7605061.8541,5500468.6141
"5266",-7605081.8541,5500468.6141,-7605061.8541,5500448.6141
"5267",-7605081.8541,5500448.6141,-7605061.8541,5500428.6141
"5268",-7605081.8541,5500428.6141,-7605061.8541,5500408.6141
"5352",-7605061.8541,5500508.6141,-7605041.8541,5500488.6141
"5353",-7605061.8541,5500488.6141,-7605041.8541,5500468.6141
"5354",-7605061.8541,5500468.6141,-7605041.8541,5500448.6141
"5355",-7605061.8541,5500448.6141,-7605041.8541,5500428.6141
"5438",-7605041.8541,5500548.6141,-7605021.8541,5500528.6141
"5439",-7605041.8541,5500528.6141,-7605021.8541,5500508.6141
"5440",-7605041.8541,5500508.6141,-7605021.8541,5500488.6141
"5441",-7605041.8541,5500488.6141,-7605021.8541,5500468.6141
"5442",-7605041.8541,5500468.6141,-7605021.8541,5500448.6141
"5523",-7605021.8541,5500608.6141,-7605001.8541,5500588.6141
"5524",-7605021.8541,5500588.6141,-7605001.8541,5500568.6141
"5525",-7605021.8541,5500568.6141,-7605001.8541,5500548.6141
"5526",-7605021.8541,5500548.6141,-7605001.8541,5500528.6141
"5527",-7605021.8541,5500528.6141,-7605001.8541,5500508.6141
"5528",-7605021.8541,5500508.6141,-7605001.8541,5500488.6141
"5529",-7605021.8541,5500488.6141,-7605001.8541,5500468.6141
"5609",-7605001.8541,5500648.6141,-7604981.8541,5500628.6141
"5610",-7605001.8541,5500628.6141,-7604981.8541,5500608.6141
"5611",-7605001.8541,5500608.6141,-7604981.8541,5500588.6141
"5612",-7605001.8541,5500588.6141,-7604981.8541,5500568.6141
"5613",-7605001.8541,5500568.6141,-7604981.8541,5500548.6141
"5614",-7605001.8541,5500548.6141,-7604981.8541,5500528.6141
"5615",-7605001.8541,5500528.6141,-7604981.8541,5500508.6141
"5616",-7605001.8541,5500508.6141,-7604981.8541,5500488.6141
"5695",-7604981.8541,5500688.6141,-7604961.8541,5500668.6141
"5696",-7604981.8541,5500668.6141,-7604961.8541,5500648.6141
"5697",-7604981.8541,5500648.6141,-7604961.8541,5500628.6141
"5698",-7604981.8541,5500628.6141,-7604961.8541,5500608.6141
"5783",-7604961.8541,5500688.6141,-7604941.8541,5500668.6141
"5784",-7604961.8541,5500668.6141,-7604941.8541,5500648.6141
"5863",-7604941.8541,5500848.6141,-7604921.8541,5500828.6141
"5870",-7604941.8541,5500708.6141,-7604921.8541,5500688.6141
"5871",-7604941.8541,5500688.6141,-7604921.8541,5500668.6141
"5952",-7604921.8541,5500828.6141,-7604901.8541,5500808.6141
"5956",-7604921.8541,5500748.6141,-7604901.8541,5500728.6141
"5957",-7604921.8541,5500728.6141,-7604901.8541,5500708.6141
"5958",-7604921.8541,5500708.6141,-7604901.8541,5500688.6141
"6041",-7604901.8541,5500808.6141,-7604881.8541,5500788.6141
"6042",-7604901.8541,5500788.6141,-7604881.8541,5500768.6141
"6043",-7604901.8541,5500768.6141,-7604881.8541,5500748.6141
"6044",-7604901.8541,5500748.6141,-7604881.8541,5500728.6141
"6045",-7604901.8541,5500728.6141,-7604881.8541,5500708.6141
