site,site.code,latitude,longitude,refugia,sampled.2023
acadia_mountain,acmo,44.323568,-68.320752,no,yes
bernard_mountain,bemo,44.303998,-68.371369,no,yes
big_moose_island,bmis,44.333218,-68.063689,yes,yes
cadillac_base,caba,44.381438,-68.231729,no,yes
cadillac_mountain,camo,44.352721,-68.225089,yes,yes
otter_point,otpo,44.310475,-68.189111,yes,no
penobscot_mountain,pemo,44.334154,-68.270543,no,yes
schoodic_head,sche,44.350271,-68.052902,yes,yes
schoodic_mountain,scmo,44.573891,-68.146502,no,yes
ship_harbor,shha,44.225669,-68.317834,yes,yes
blueberry_hill,blhi,44.338831,-68.04547,yes,yes
schoodic_woods,scwo,44.370334,-68.052389,no,yes
