id,site,site.code,refugia,longitude,latitude,sampling.status,area
acmo_nr_1538,acadia_mountain,acmo,no,-68.32371934,44.32332351,survey,1
acmo_nr_1609,acadia_mountain,acmo,no,-68.32353968,44.32345204,survey,1
acmo_nr_1610,acadia_mountain,acmo,no,-68.32353968,44.32332351,survey,1
acmo_nr_1681,acadia_mountain,acmo,no,-68.32336002,44.32345204,survey,1
acmo_nr_1682,acadia_mountain,acmo,no,-68.32336002,44.32332351,survey,1
acmo_nr_1750,acadia_mountain,acmo,no,-68.32318035,44.32383763,survey,1
acmo_nr_1751,acadia_mountain,acmo,no,-68.32318035,44.3237091,survey,1
acmo_nr_1752,acadia_mountain,acmo,no,-68.32318035,44.32358057,survey,1
acmo_nr_1753,acadia_mountain,acmo,no,-68.32318035,44.32345204,survey,1
acmo_nr_1754,acadia_mountain,acmo,no,-68.32318035,44.32332351,survey,1
acmo_nr_1822,acadia_mountain,acmo,no,-68.32300069,44.32383763,survey,1
acmo_nr_1823,acadia_mountain,acmo,no,-68.32300069,44.3237091,survey,1
acmo_nr_1824,acadia_mountain,acmo,no,-68.32300069,44.32358057,survey,1
acmo_nr_1825,acadia_mountain,acmo,no,-68.32300069,44.32345204,survey,1
acmo_nr_1826,acadia_mountain,acmo,no,-68.32300069,44.32332351,survey,1
acmo_nr_1899,acadia_mountain,acmo,no,-68.32282103,44.32319497,survey,1
acmo_nr_1900,acadia_mountain,acmo,no,-68.32282103,44.32306644,survey,1
acmo_nr_1966,acadia_mountain,acmo,no,-68.32264136,44.32383763,survey,1
acmo_nr_1967,acadia_mountain,acmo,no,-68.32264136,44.3237091,survey,1
acmo_nr_1971,acadia_mountain,acmo,no,-68.32264136,44.32319497,survey,1
acmo_nr_1972,acadia_mountain,acmo,no,-68.32264136,44.32306644,survey,1
acmo_nr_1973,acadia_mountain,acmo,no,-68.32264136,44.32293791,survey,1
acmo_nr_2038,acadia_mountain,acmo,no,-68.3224617,44.32383763,survey,1
acmo_nr_2039,acadia_mountain,acmo,no,-68.3224617,44.3237091,survey,1
acmo_nr_2040,acadia_mountain,acmo,no,-68.3224617,44.32358057,survey,1
acmo_nr_2041,acadia_mountain,acmo,no,-68.3224617,44.32345204,survey,1
acmo_nr_2042,acadia_mountain,acmo,no,-68.3224617,44.32332351,survey,1
acmo_nr_2043,acadia_mountain,acmo,no,-68.3224617,44.32319497,survey,1
acmo_nr_2044,acadia_mountain,acmo,no,-68.3224617,44.32306644,survey,1
acmo_nr_2045,acadia_mountain,acmo,no,-68.3224617,44.32293791,survey,1
acmo_nr_2110,acadia_mountain,acmo,no,-68.32228204,44.32383763,survey,1
acmo_nr_2111,acadia_mountain,acmo,no,-68.32228204,44.3237091,survey,1
acmo_nr_2112,acadia_mountain,acmo,no,-68.32228204,44.32358057,survey,1
acmo_nr_2113,acadia_mountain,acmo,no,-68.32228204,44.32345204,survey,1
acmo_nr_2114,acadia_mountain,acmo,no,-68.32228204,44.32332351,survey,1
acmo_nr_2115,acadia_mountain,acmo,no,-68.32228204,44.32319497,survey,1
acmo_nr_3840,acadia_mountain,acmo,no,-68.31797013,44.32358057,survey,2
acmo_nr_3841,acadia_mountain,acmo,no,-68.31797013,44.32345204,survey,2
acmo_nr_3842,acadia_mountain,acmo,no,-68.31797013,44.32332351,survey,2
acmo_nr_3843,acadia_mountain,acmo,no,-68.31797013,44.32319497,survey,2
acmo_nr_3912,acadia_mountain,acmo,no,-68.31779046,44.32358057,survey,2
acmo_nr_3913,acadia_mountain,acmo,no,-68.31779046,44.32345204,survey,2
acmo_nr_3914,acadia_mountain,acmo,no,-68.31779046,44.32332351,survey,2
acmo_nr_3915,acadia_mountain,acmo,no,-68.31779046,44.32319497,survey,2
acmo_nr_3984,acadia_mountain,acmo,no,-68.3176108,44.32358057,survey,2
acmo_nr_3985,acadia_mountain,acmo,no,-68.3176108,44.32345204,survey,2
acmo_nr_3986,acadia_mountain,acmo,no,-68.3176108,44.32332351,survey,2
acmo_nr_3987,acadia_mountain,acmo,no,-68.3176108,44.32319497,survey,2
acmo_nr_4054,acadia_mountain,acmo,no,-68.31743114,44.32383763,survey,2
acmo_nr_4055,acadia_mountain,acmo,no,-68.31743114,44.3237091,survey,2
acmo_nr_4056,acadia_mountain,acmo,no,-68.31743114,44.32358057,survey,2
acmo_nr_4057,acadia_mountain,acmo,no,-68.31743114,44.32345204,survey,2
acmo_nr_4058,acadia_mountain,acmo,no,-68.31743114,44.32332351,survey,2
acmo_nr_4059,acadia_mountain,acmo,no,-68.31743114,44.32319497,survey,2
acmo_nr_4060,acadia_mountain,acmo,no,-68.31743114,44.32306644,survey,2
acmo_nr_4061,acadia_mountain,acmo,no,-68.31743114,44.32293791,survey,2
acmo_nr_4062,acadia_mountain,acmo,no,-68.31743114,44.32280937,survey,2
acmo_nr_4063,acadia_mountain,acmo,no,-68.31743114,44.32268084,survey,2
